Calculated Data Table of Freshwater Salinization by Type of Freshwater,,,,,,,,,
Type of Freshwater (avg. of two sources),pH,Conductivity (µs),Salinity (ppt),Total Dissolved Solids (ppm),"Zinc (0, 2, 5, 10, 20, 40, 100 ppm)","Nitrite (0, 0.5, 1.0, 5.0, 10, 25 ppm)","Nitrate (0, 10, 25, 50, 100, 250, 500 ppm)","Copper (0, 0.05, 0.1, 0.2, 0.4, 1, 2 ppm)","Water Metals Check for Heavy Metals (Cu^+2, Co^+2, Zn^+2, Cd^+2, Ni^+2, Hg^+2)"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Streams (Gravelly Brook & Big Brook),5.97,353,0.18,259,0,0,6.7,0,5
Rivers (Passaic River & Ramapo River),8.20,636,0.32,456,0,0,10,0,0
Ponds (Shark River Park Pond & Holmdel Park Pond),6.32,368,0.18,261,0,0,0,0,0
Lakes (Marlu Lake & Lake Topanemus),6.98,231,0.12,166,0,0,0,0,0
Wetlands (Hatfield Swamp & Great Piece Meadows),7.68,618,0.31,448,0,0,5,0,0
